trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,12,-117.59543542793585,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-122.88209392281945,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-291.23052821851604,"{0: 20, 1: 0, 2: 10, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-116.18271680279437,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,9,8.779324049392775,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-146.4272368813717,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-66.49385214567731,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-199.56875921170737,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-71.45035521815278,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-104.00612367657838,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-89.49603110379317,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-142.90297752370162,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-44.427952524129715,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-70.10306248086185,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-139.45319951859645,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-224.11320218303638,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-124.95565641750247,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-95.77834772708677,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-100.16910266960002,"{0: 11, 1: 7, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-91.63652362585992,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-95.30419905132511,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
