trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,8,-180.449573281016,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.9025}",20,7,-43.2023186868151,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",35,0,-183.5260497372847,"{0: 18, 1: 0, 2: 15, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-94.27569798860556,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",25,8,-179.0436250126847,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-164.21416858491762,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",35,10,-155.66484083654774,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-111.29062257456489,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-109.81519693383166,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,-60.58042161343835,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-29.97023044842403,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,0,-51.84935256860082,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",25,16,-10.162801342717069,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,5,-66.86577409821787,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",25,0,-43.929177037919594,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",20,15,-11.093927673033367,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",20,0,-54.0174501574401,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,0,-121.4586684784251,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",20,2,-11.858758263410888,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,0,-141.45172400697447,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,0,-21.602346037296495,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",25,0,-191.56222499979808,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",35,0,-108.1015785914445,"{0: 26, 1: 2, 2: 3, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",20,0,-51.82078839498488,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,0,-70.72760340196925,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.263520094465742}",20,9,-54.34872324333341,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",20,0,-90.5144163251477,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",20,7,-85.12587784984883,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",25,0,-96.64615272102554,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,8,-22.42842728115824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",25,0,-117.55734165388036,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",20,0,-74.10861638937718,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,10,-10.592351235140558,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",20,0,-149.61216310842843,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",25,0,-172.52055484111264,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",20,0,4.9919640025644645,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",25,0,-83.56082619412904,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",25,15,-92.20236819857718,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,0,-88.74175290478178,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",20,0,-110.47424429912049,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",20,0,-105.39931030620184,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",25,0,-100.53516085882578,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",20,0,-191.7917753742179,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",30,0,-91.15390073276394,"{0: 20, 1: 4, 2: 3, 3: 3, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",20,0,-127.28564566255645,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",35,17,-87.9154556894115,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",30,0,-98.46178048697726,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,0,-134.58347738536,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,5,-47.15405596118002,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",30,0,-153.3706319940491,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",35,0,-101.8841362958176,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",20,0,-48.57061631492187,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.0659706981778719}",25,0,-141.55559581442904,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.0626721632689783}",30,0,-142.2788952130726,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.059538555105529384}",25,17,13.092393955274604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.05656162735025291}",25,0,-91.49998874862075,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.053733545982740265}",25,0,-205.28137539938677,"{0: 13, 1: 2, 2: 3, 3: 5, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.05104686868360325}",25,0,-60.60103179769624,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.04849452524942309}",30,0,-150.1704910296285,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-136.97549782217945,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
