trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.783196068938,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.96563793906395,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.1855849550308,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.81779194671478,"{0: 7, 1: 4, 2: 12, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.760979976616106,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.24163818574023,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.73593716592949,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.172193970230886,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.30256240954105,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.5265608029384,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,5,-32.51372933671688,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.11041029703661,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.05917096851353,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-226.37597379553063,"{0: 19, 1: 5, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.81175311464614,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.6157719921367,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.90050897576191,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.88431260828565,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.46291928987566,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.31943061042804,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.3863721965221,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.6923788488502,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.54827698540956,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,7,-91.59844269913424,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.48972310672426,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.29719742229943,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.71795377870032,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.869539224263,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-200.976822279638,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.43551029944234,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
